state,county,city,site,pollutant,date,daily_avg,units_of_measure
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-21,0.506261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-22,0.310087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-23,0.602087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-24,0.714348,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-25,0.548913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-26,0.562652,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-27,0.274174,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-28,0.359087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-29,0.396913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-30,0.492174,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-03-31,0.314391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-01,0.309043,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-02,0.382727,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-03,0.546609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-04,0.801696,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-05,0.164652,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-06,0.542087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-07,0.247522,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-08,0.452261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-04-09,0.390739,Parts per million
